"Keyword","Impressions","Clicks","CTR","Avg. Position"
"anime recommendations based on my preferences","747","0","0%","8.07897242302543"
"animetrend","13","0","0%","6.92307692307692"
"animetrend.org","9","1","11.11%","4.11114444444444"
"anime recobmendations based on my preferences,;","3","0","0%","8"
"www.animetrend.org","3","0","0%","6.66666666666667"
"anime recommendations based rn my preferences","2","0","0%","7"
"anime recommendatcons based on my preferences","1","0","0%","7"
"anime recommendations based on my preferenses","1","0","0%","8"
"anime rekommendations based on my preferences","1","0","0%","8"
"trend in anime","1","0","0%","7"
"anime sugesstion","1","0","0%","10"
"anime reyommendations based on my preferences","1","0","0%","7"
"anime recofmendations based on my preferences","1","0","0%","4"
"anime recommeneations based on my preferences","1","0","0%","7"
"anime trend app","1","0","0%","9"
"find animes that suit you","1","0","0%","7"
"anime recommendavions based on my preferences","1","0","0%","7"
"http://www.animetrend.org","1","0","0%","4"
"discover anime and manga, track your progress, get personalized recommendations.","1","0","0%","9"
"anime recommendations based oo my preferences","1","0","0%","8"
"anime qecommendations basedxon my preferences","1","0","0%","9"
"anime recommewdations based on my preferences","1","0","0%","8"
"animd recommendations based on my preferences","1","0","0%","9"
"anime recommendations basqd on my preferences","1","0","0%","6"
"anime rkcommendations based on my preferences","1","0","0%","7"
"anime recommendktions based on my preferences","1","0","0%","7"
"anime recommendations based os my preferences","1","0","0%","8"
"anime recommexdations based on my preferences","1","0","0%","9"
"what kind of anime is in that trend i think your picking a fight","1","0","0%","9"
"anime recommendatinns based on my preferences","1","0","0%","9"
"new new anime in trend","1","0","0%","7"
"toonstrend anime","1","0","0%","5"
"trend anime x agyst","1","0","0%","9"
"anime tred","1","0","0%","7"
"trend anime blick","1","0","0%","2"
"anime recommenaations based on my preferences","1","0","0%","8"
"anime recommendations based on my preferenxes","1","0","0%","8"
"anime recpmmendations based on my preferences","1","0","0%","8"
"trenidng manga anilst","1","0","0%","10"
"anime trend ai","1","0","0%","10"
"trend anime","1","0","0%","17"
"anime recomoendations based on my preferences","1","0","0%","8"
"animeyrecommendations based on my preferences","1","0","0%","7"
"anime on trend","1","0","0%","10"
"what kind of anime is hanaki from in that trend i think your picking a fight","1","0","0%","10"
"anime recocmendations based on my preferences","1","0","0%","7"
"anime recommendations based on ma preferences","1","0","0%","7"
"animj recommendations based on my preferences","1","0","0%","8"
"anime rdcommendations based on m ypreferences","1","0","0%","8"
"trend anime video","1","0","0%","9"
